order_id,customer_state,product_category_name_english,order_total_value,delivery_delay_days,primary_payment_type,avg_review_score,return_flag,is_canceled,is_low_review,purchase_year,purchase_month,return_risk_score,risk_band
e481f51cbdc54678b7cc49136f2d6af7,SP,housewares,38.71,-8.0,voucher,4.0,0,0,0,2017,10,0.4673915,Medium
53cdb2fc8bc7dce0b6741e2150273451,BA,perfumery,141.46,-6.0,boleto,4.0,0,0,0,2018,7,0.3766537,Medium
47770eb9100c2d0c44946d9cf07ec65d,GO,auto,179.12,-18.0,credit_card,5.0,0,0,0,2018,8,0.2741892,Medium
949d5b44dbf5de918fe9c16f97b45f8a,RN,pet_shop,72.2,-13.0,credit_card,5.0,0,0,0,2017,11,0.5298875,High
ad21c59c0840e6cb83a9ceb5573f8159,SP,stationery,28.619999999999997,-10.0,credit_card,5.0,0,0,0,2018,2,0.28512734,Medium
a4591c265e18cb1dcee52889e2d8acc3,PR,auto,175.26,-6.0,credit_card,4.0,0,0,0,2017,7,0.3270246,Medium
136cce7faa42fdb2cefd53fdc79a6098,RS,unknown,65.95,,credit_card,2.0,1,0,1,2017,4,0.48285198,Medium
6514b8ad8028c9f2cc2374ded245783f,RJ,auto,75.16,-12.0,credit_card,5.0,0,0,0,2017,5,0.42492837,Medium
76c6e866289321a7c93b82b54852dc33,RS,furniture_decor,35.95,-32.0,boleto,1.0,1,0,1,2017,1,0.2105329,Low
e69bfb5eb88e0ed6a785585b27e16dbf,SP,office_furniture,169.76000000000002,-7.0,credit_card,5.0,0,0,0,2017,7,0.29864696,Medium
e6ce16cb79ec1d90b1da9085a6118aeb,RJ,garden_tools,259.06,-9.0,credit_card,1.0,1,0,1,2017,5,0.6636743,High
34513ce0c4fab462a55830c0989c7edb,SP,computers_accessories,114.13,-20.0,credit_card,4.0,0,0,0,2017,7,0.3515131,Medium
82566a660a982b15fb86e904c8d32918,MG,perfumery,50.129999999999995,-29.0,boleto,5.0,0,0,0,2018,6,0.27896202,Medium
5ff96c15d0b717ac6ad1f3d77225a350,SP,bed_bath_table,32.7,-9.0,credit_card,5.0,0,0,0,2018,7,0.35166603,Medium
432aaf21d85167c2c86ec9448c4e42cc,SP,toys,54.36,-9.0,credit_card,4.0,0,0,0,2018,3,0.48096442,Medium
dcb36b511fcac050b97cd5c05de84dc3,GO,perfumery,146.45000000000002,-13.0,credit_card,5.0,0,0,0,2018,6,0.37089923,Medium
403b97836b0c04a622354cf531062e5f,RJ,construction_tools_construction,1376.45,-17.0,credit_card,,0,0,0,2018,1,0.5854329,High
116f0b09343b49556bbad5f35bee0cdf,SC,telephony,43.09,-21.0,credit_card,5.0,0,0,0,2017,12,0.41395852,Medium
85ce859fd6dc634de8d2f1e290444043,SP,bed_bath_table,29.75,-14.0,credit_card,5.0,0,0,0,2017,11,0.39049622,Medium
83018ec114eee8641c97e08f7b4e926f,BA,telephony,92.97,-15.0,voucher,4.0,0,0,0,2017,10,0.4531882,Medium
203096f03d82e0dffbc41ebc2e2bcfb7,SP,health_beauty,118.86,11.0,boleto,2.0,1,0,1,2017,9,0.4077844,Medium
f848643eec1d69395095eb3840d2051e,SP,health_beauty,88.89999999999999,-10.0,credit_card,5.0,0,0,0,2018,3,0.3586118,Medium
2807d0e504d6d4894d41672727bc139f,SP,electronics,17.28,-13.0,credit_card,3.0,0,0,0,2018,2,0.2524724,Medium
95266dbfb7e20354baba07964dac78d5,SC,baby,187.57,-26.0,credit_card,4.0,0,0,0,2018,1,0.6137708,High
f3e7c359154d965827355f39d6b1fdac,SP,stationery,104.11,-4.0,boleto,5.0,0,0,0,2018,8,0.30052197,Medium
fbf9ac61453ac646ce8ad9783d7d0af6,RJ,cool_stuff,125.43,9.0,boleto,2.0,1,0,1,2018,2,0.83212453,Very High
acce194856392f074dbf9dada14d8d82,BA,baby,227.68,-32.0,credit_card,1.0,1,0,1,2018,6,0.8356265,Very High
dd78f560c270f1909639c11b925620ea,SP,perfumery,60.69,-7.0,credit_card,5.0,0,0,0,2018,3,0.46290383,Medium
91b2a010e1e45e6ba3d133fa997597be,SP,watches_gifts,192.68,-7.0,credit_card,4.0,0,0,0,2018,5,0.36372,Medium
ecab90c9933c58908d3d6add7c6f5ae3,RR,garden_tools,63.34,-17.0,credit_card,4.0,0,0,0,2018,2,0.33098823,Medium
f70a0aff17df5a6cdd9a7196128bd354,SP,baby,313.19,-5.0,boleto,2.0,1,0,1,2017,8,0.49523464,Medium
1790eea0b567cf50911c057cf20f90f9,PE,air_conditioning,224.9,-10.0,credit_card,1.0,1,0,1,2018,4,0.587706,High
989225ba6d0ebd5873335f7e01de2ae7,SP,furniture_decor,63.1,-5.0,credit_card,4.0,0,0,0,2017,12,0.3899002,Medium
d887b52c6516beb39e8cd44a5f8b60f7,RJ,toys,100.25,-13.0,credit_card,5.0,0,0,0,2018,2,0.6575167,High
b276e4f8c0fb86bd82fce576f21713e0,SP,perfumery,188.41,-6.0,credit_card,5.0,0,0,0,2018,7,0.2758772,Medium
8563039e855156e48fccee4d611a3196,TO,garden_tools,106.95,0.0,credit_card,5.0,0,0,0,2018,2,0.52977234,High
